name,tweet,date,like,retweet
YCWYCBEYCGOOTG,@spriter99880 That looks like back when the #COVID19 pandemic was causing widespread shortages and rationing as a result,2022-03-23 03:40:55+00:00,0,0
MayaIsMyGirl,"@KyleWTampa @risahoshinoMD This same FIL was spouting all kinds of weird conspiracy things on Facebook back in March 2020 in early pandemic days. His brother, a prominent and highly regarded doctor at the Cleveland Clinic I think stepped in and told him to stop being such a clown.  Gotta love in-laws, huh?",2022-03-23 03:40:54+00:00,0,0
Aussiedinkydi,"RT @mountvi1: Here’s what’s going to happen: 

WHO / NWO will declare another pandemic within 2 years. 

By then, we’d have signed up to th…",2022-03-23 03:40:51+00:00,0,863
John_Dutton_18,RT @JesseKellyDC: Remember when Joe Biden pointed his finger at half the country and blamed them for a pandemic and then tried to have them…,2022-03-23 03:40:40+00:00,0,2969
MarthaNAyon,"RT @georgejoseph94: NEW: NYC’s Black neighborhood were among the hardest hit by the pandemic. Now, they face the greatest risk of home fore…",2022-03-23 03:40:39+00:00,0,259
kimmbadbadon,"President Duterte has signed EO 166, which adopts the Economic Development Cluster's ten-point policy agenda speeding up and sustaining recovery from the COVID-19 pandemic.

It also orders a whole-of-government approach aligning all economic recovery programs. @cnnphilippines https://t.co/6FdnsXPnrk",2022-03-23 03:40:37+00:00,0,0
SunnyFLMB,"@tomangell Y'all funny. Biden had to get a whole pandemic under control, but yes, this promise was a step too far. 🙄",2022-03-23 03:40:36+00:00,0,0
calamardo_guap0,"they in a pandemic 😩😳,  we in a bandemic 🙌😈",2022-03-23 03:40:34+00:00,0,0
EricGra05586981,RT @JesseKellyDC: Remember when Joe Biden pointed his finger at half the country and blamed them for a pandemic and then tried to have them…,2022-03-23 03:40:33+00:00,0,2969
ebscbwi,RT @TimesofIsrael: Big data shows mental health issues spiked during pandemic among teen girls https://t.co/NmfHOROnXM,2022-03-23 03:40:32+00:00,0,2
moth2moth,"I wrote about exercise and eating disorders and being brave enough to embarrass yourself before the pandemic and now I just…laugh about how stupid that feels now.

https://t.co/bRFVyHrNsp",2022-03-23 03:40:31+00:00,3,0
NinjaWieldsLime,"Thinking about it, I think a big difference between people who find masks uncomfortable and people who don't could be that the former view masks as a sign of the pandemic, so they're more aware of them. The latter just think masks are a good health measure in general regardless.",2022-03-23 03:40:29+00:00,1,0
fitbitsmash,RT @danielgoyal: The pandemic has exposed some libertarians’ ideology for what it actually is: freedom to exploit the vulnerable without an…,2022-03-23 03:40:28+00:00,0,640
AH__PK,"RT @Jhagra: Is this why the opposition is in such a hurry to dislodge @ImranKhanPTI?
Despite a once in a century pandemic &amp; economic recess…",2022-03-23 03:40:25+00:00,0,64
ChuckleHutVIP,@fatnutritionist communication has been the biggest failure throughout the pandemic.,2022-03-23 03:40:22+00:00,0,0
civanjohnson,"LORD JESUS CHRIST,
UNdefiled in HOLINESS.
UNequalled in POWER.
UNdistracted in COMPASSION.
Hear us.
Mercifully Hear us:
The Pandemic is devouring our health, 
our strength 
and our Hope.
The wicked (in their own hearts) have exposed their shameless hypocrisy.",2022-03-23 03:40:20+00:00,2,0
tiossinob,RT @BLCKD_COM_PlLLD: This is what the pandemic is about and dont let anybody tell you different. https://t.co/tmhmbSsVhK,2022-03-23 03:40:17+00:00,0,676
watinthe_,"RT @_mbdr_: It's disappointing the pandemic might last for years longer.

But, learning the timescale from the past epidemics might let peo…",2022-03-23 03:40:16+00:00,0,7
ChadGoldsmith,@PKellyMLB @DrLeanaWen @DrEricDing During a global pandemic?  Absolutely.  Remote is fine.,2022-03-23 03:40:16+00:00,1,0
DPJatYale,"@RobertBarnes542 Today. When I was in public. As I will likely do until the pandemic becomes an endemic and ends.

We're nowhere near that point. I'm masking for a long time. 

Mostly because the idiots that won't get vaccinated keep prolonging the issues.",2022-03-23 03:40:15+00:00,0,0
AdanMadow,@JustinTrudeau Thank you Hon:Prime Minister Justin Trudeau and Hon:Jagmeet Singh together they have there knowledge which Canadian will benefit again we will have stable government for the next 3 years since we are coming from 2 years pandemic we need stable government no more insurrectionist,2022-03-23 03:40:15+00:00,0,0
nextdoorsv,RT @risahoshinoMD: The gaslighting is working. My patients have been asking me if masking really works and whether the pandemic is actually…,2022-03-23 03:40:14+00:00,0,115
La_Femme_Nista,"RT @vastleft: @DataDrivenMD They’re writing the room, convincing almost everyone in America to act like the pandemic is over.",2022-03-23 03:40:12+00:00,0,1
AuEpochTimes,"@PMalinauskasMP has begun his role as the premier of #SouthAustralia on March 21, saying he is determined to back the current COVID-19 health advice in dealing with the #CCPVirus pandemic.

https://t.co/3qJfQcKdCz via @epochtimes",2022-03-23 03:40:12+00:00,0,0
ModhoMia,@dens_club @lepriconio Q..Can you explain the background of your #SORTED team?  How will you and your team carry out this  #SORTED project during this current pandemic?,2022-03-23 03:40:12+00:00,0,0
